SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1046446,72905,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046454,72906,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047531,72907,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047540,72908,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047540,72908,08/01/08,Y,08/07/08,2007,256.79,3.21,0,0
1047558,72909,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047566,72910,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047574,72911,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047582,72912,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047604,72913,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047612,72914,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047752,72915,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047744,72916,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047701,72917,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047698,72918,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047680,72919,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047671,72920,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047663,72921,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047655,72922,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047647,72923,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047639,72924,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047779,72925,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047787,72926,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047795,72927,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047817,72928,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047825,72929,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047833,72930,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047892,72931,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1047892,72931,08/14/08,Y,12/30/10,2007,256.79,93.09,0,0
1047892,72931,08/06/09,Y,12/30/10,2008,255.21,54.23,0,0
1047892,72931,08/04/10,Y,12/30/10,2009,257.77,16.11,0,0
1047906,72932,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1047906,72932,08/29/08,Y,12/30/10,2007,256.79,93.09,0,0
1047906,72932,08/31/09,Y,12/30/10,2008,255.21,54.23,0,0
1047906,72932,08/31/10,Y,12/30/10,2009,257.77,16.11,0,0
1047914,72933,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047922,72934,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1048031,72935,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1048031,72935,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1048031,72935,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
1048031,72935,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1048023,72936,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1048023,72936,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1048023,72936,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
